Price,Adj Close,Close,High,Low,Open,Volume
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,AAPL
Datetime,,,,,,
2025-12-22 14:30:00+00:00,272.0150146484375,272.0150146484375,273.8800048828125,271.57000732421875,272.8599853515625,6084655
2025-12-22 15:30:00+00:00,272.44000244140625,272.44000244140625,272.79998779296875,271.510009765625,272.0299987792969,2467910
2025-12-22 16:30:00+00:00,271.94000244140625,271.94000244140625,272.510009765625,271.5199890136719,272.4200134277344,2114933
2025-12-22 17:30:00+00:00,270.9399108886719,270.9399108886719,272.1400146484375,270.739990234375,271.9200134277344,2226647
2025-12-22 18:30:00+00:00,270.864990234375,270.864990234375,271.1400146484375,270.510009765625,270.93499755859375,1960079
2025-12-22 19:30:00+00:00,270.7200012207031,270.7200012207031,271.1099853515625,270.7149963378906,270.8699951171875,1999793
2025-12-22 20:30:00+00:00,270.82000732421875,270.82000732421875,271.19989013671875,270.5050048828125,270.7149963378906,2599971
2025-12-23 14:30:00+00:00,270.8399963378906,270.8399963378906,271.92999267578125,269.55999755859375,270.3599853515625,5104762
2025-12-23 15:30:00+00:00,271.7814025878906,271.7814025878906,271.95001220703125,270.70001220703125,270.8399963378906,2241209
2025-12-23 16:30:00+00:00,271.5299987792969,271.5299987792969,272.3111877441406,271.4729919433594,271.81500244140625,2086319
2025-12-23 17:30:00+00:00,271.70001220703125,271.70001220703125,271.80999755859375,271.1099853515625,271.5400085449219,1310733
2025-12-23 18:30:00+00:00,271.80999755859375,271.80999755859375,272.1199951171875,271.5,271.70001220703125,1442128
2025-12-23 19:30:00+00:00,272.10699462890625,272.10699462890625,272.44000244140625,271.760009765625,271.80999755859375,1857021
2025-12-23 20:30:00+00:00,272.239990234375,272.239990234375,272.45001220703125,271.8399963378906,272.1000061035156,2287709
2025-12-24 14:30:00+00:00,274.03509521484375,274.03509521484375,274.739990234375,273.0899963378906,273.25,4589623
2025-12-24 15:30:00+00:00,274.85101318359375,274.85101318359375,275.04998779296875,273.9100036621094,274.0400085449219,2096233
2025-12-24 16:30:00+00:00,275.3599853515625,275.3599853515625,275.42999267578125,274.8299865722656,274.8599853515625,2055154
2025-12-26 14:30:00+00:00,274.8247985839844,274.8247985839844,275.3699951171875,274.05999755859375,274.25,2899986
2025-12-26 15:30:00+00:00,274.8800048828125,274.8800048828125,274.9800109863281,274.3699951171875,274.81500244140625,1434883
2025-12-26 16:30:00+00:00,274.6400146484375,274.6400146484375,274.93499755859375,274.4100036621094,274.8800048828125,1079100
2025-12-26 17:30:00+00:00,274.5199890136719,274.5199890136719,274.6499938964844,274.2250061035156,274.6300048828125,903247
2025-12-26 18:30:00+00:00,274.7601013183594,274.7601013183594,274.9849853515625,274.3800048828125,274.5249938964844,1447341
2025-12-26 19:30:00+00:00,273.9800109863281,273.9800109863281,274.8299865722656,273.8700866699219,274.7650146484375,1463547
2025-12-26 20:30:00+00:00,273.25,273.25,273.989990234375,272.8699951171875,273.9800109863281,2563251
